City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,susuman,62.7833,148.1667,9.06,76,92,6.28,RU,1725947525
112,alice springs,-23.7,133.8833,29.75,20,100,2.06,AU,1725947575
113,mikun',62.3547,50.0771,17.88,58,50,1.89,RU,1725947855
114,yigo village,13.5361,144.8886,28.16,85,75,9.26,GU,1725947855
115,fale old settlement,-9.3852,-171.2468,28.29,82,13,9.74,TK,1725947547
116,san pedro,14.35,121.0167,30.73,71,40,6.17,PH,1725947587
117,san antonio de pale,-1.4014,5.6325,24.09,86,99,5.43,GQ,1725947528
118,chernomorskoye,45.5039,32.6997,22.78,72,75,1.99,UA,1725947856
119,nagqu,31.5,92.0,14.04,47,44,2.13,CN,1725947534
120,karystos,38.0133,24.4161,26.9,79,89,6.08,GR,1725947856
121,south upi,6.8333,124.15,26.9,69,94,2.59,PH,1725947856
122,camacupa,-12.0167,17.4833,19.26,26,64,1.39,AO,1725947856
123,mar del plata,-38.0023,-57.5575,11.4,97,100,2.06,AR,1725947185
124,ola,59.5833,151.2833,10.93,79,100,1.76,RU,1725947563
125,hawaiian paradise park,19.5933,-154.9731,23.83,90,34,0.84,US,1725947592
126,samraong,12.4526,105.5873,30.22,82,100,1.42,KH,1725947857
127,gadzhiyevo,69.2551,33.3362,16.45,64,19,8.55,RU,1725947572
128,najran,17.4924,44.1277,30.31,13,1,1.44,SA,1725947857
129,punta arenas,-53.15,-70.9167,2.06,87,40,10.29,CL,1725947410
130,champerico,14.3,-91.9167,25.83,91,95,3.57,GT,1725947857
131,iqaluit,63.7506,-68.5145,3.85,55,0,2.06,CA,1725947534
132,sao gabriel da cachoeira,-0.1303,-67.0892,24.85,70,25,0.93,BR,1725947857
133,san julian,21.0167,-102.1667,17.77,69,100,1.63,MX,1725947858
134,egilsstadir,65.2653,-14.3948,3.95,81,100,4.12,IS,1725947543
135,garachico,28.7781,-17.7646,21.06,78,100,5.66,ES,1725947858
136,aksu,41.1231,80.2644,23.07,33,92,1.9,CN,1725947858
137,vilyuysk,63.7553,121.6247,13.45,67,100,0.44,RU,1725947594
138,inarajan village,13.2736,144.7484,28.55,90,100,9.73,GU,1725947858
139,quellon,-43.1167,-73.6167,6.17,83,100,6.32,CL,1725947858
140,byron bay,-28.65,153.6167,21.58,62,48,4.9,AU,1725947858
141,auch,43.65,0.5833,17.36,85,94,0.45,FR,1725947859
142,dusti,37.3481,68.664,25.44,12,0,0.84,TJ,1725947859
143,newman,37.3138,-121.0208,20.03,52,0,2.83,US,1725947566
144,carnarvon,-24.8667,113.6333,21.95,52,0,8.48,AU,1725947538
145,lompoc,34.6391,-120.4579,14.52,81,0,1.54,US,1725947542
146,mount gambier,-37.8333,140.7667,16.26,62,100,3.36,AU,1725947527
147,port blair,11.6667,92.75,28.9,78,86,8.93,IN,1725947574
148,kourou,5.1552,-52.6478,24.46,86,67,3.6,GF,1725947593
149,twin falls,42.3505,-114.6445,15.19,44,0,3.09,US,1725947741
150,strezhevoy,60.7333,77.5889,12.11,56,36,6.35,RU,1725947860
151,mahalapye,-23.1041,26.8142,14.89,79,83,9.44,BW,1725947860
152,roma,43.2128,-75.4557,15.2,99,100,1.54,US,1725947464
153,bertoua,4.5833,13.6833,20.87,97,66,1.14,CM,1725947860
154,grand falls-windsor,48.9332,-55.6649,10.28,90,100,3.59,CA,1725947861
155,selfoss,63.9331,-20.9971,5.02,66,85,10.43,IS,1725947584
156,cockburn town,21.4612,-71.1419,29.07,75,6,7.03,TC,1725947567
157,pechora,65.1472,57.2244,15.05,78,84,3.43,RU,1725947589
158,shahrak,34.1074,64.3052,17.74,11,0,2.55,AF,1725947861
159,gaspe,48.8334,-64.4819,11.12,87,0,3.09,CA,1725947861
160,codrington,-38.2667,141.9667,17.12,63,100,3.3,AU,1725947590
161,aswan,24.0934,32.907,30.61,26,0,1.54,EG,1725947862
162,amarante,-6.2411,-42.8547,22.42,48,14,1.81,BR,1725947862
163,san patricio,28.017,-97.5169,26.97,69,100,4.62,US,1725947534
164,lebu,-37.6167,-73.65,8.97,89,86,2.13,CL,1725947525
165,alofi,-19.0595,-169.9187,24.94,88,1,3.09,NU,1725947566
166,pacific grove,36.6177,-121.9166,16.06,87,100,2.06,US,1725947862
167,acajutla,13.5928,-89.8275,26.55,83,100,2.13,SV,1725947862
168,paramonga,-10.6667,-77.8333,16.09,90,25,3.26,PE,1725947862
169,adigrat,14.277,39.462,19.08,52,8,3.42,ET,1725947863
170,northam,51.0333,-4.2167,14.78,96,100,8.95,GB,1725947603
171,bestobe,52.4994,73.0975,19.61,61,10,1.16,KZ,1725947863
172,santana do livramento,-30.8908,-55.5328,18.39,99,38,2.91,BR,1725947863
173,praia da vitoria,38.7333,-27.0667,20.98,94,100,5.17,PT,1725947580
174,enewetak,11.3474,162.3373,28.75,80,54,6.22,MH,1725947568
175,thunder bay,48.4001,-89.3168,10.99,100,0,1.54,CA,1725947864
176,whistler,50.1164,-122.9695,11.75,96,27,1.52,CA,1725947813
177,olonkinbyen,70.9221,-8.7187,2.24,97,100,11.61,SJ,1725947545
178,portland,45.5234,-122.6762,20.97,75,75,3.6,US,1725947355
179,le port,-20.9373,55.2919,24.98,91,7,1.08,RE,1725947864
180,kirensk,57.7853,108.1119,7.22,62,90,6.69,RU,1725947578
181,dubbo,-32.25,148.6167,21.07,43,0,3.09,AU,1725947864
182,luau,-10.7073,22.2247,25.0,38,93,0.55,AO,1725947865
183,lethbridge,49.7,-112.8186,14.06,47,0,3.6,CA,1725947758
184,rongelap,11.1635,166.8941,27.97,76,100,8.12,MH,1725947604
185,lazaro cardenas,17.9583,-102.2,25.55,91,100,2.16,MX,1725947552
186,kill devil hills,36.0307,-75.676,17.01,94,0,0.0,US,1725947549
187,sturgeon bay,44.8342,-87.377,17.2,82,0,3.09,US,1725947865
188,horta,38.5333,-28.6333,21.12,83,96,4.02,PT,1725947542
189,ust-nera,64.5667,143.2,7.85,84,94,2.47,RU,1725947525
190,salinopolis,-0.6136,-47.3561,26.63,76,12,5.82,BR,1725947866
191,alva,56.1528,-3.8051,6.94,85,78,8.22,GB,1725947866
192,bikenibeu village,1.3673,173.1241,29.98,79,40,5.66,KI,1725947587
193,abu qurqas,27.9312,30.8384,30.25,38,0,2.49,EG,1725947867
194,thompson,55.7435,-97.8558,18.09,72,40,1.54,CA,1725947535
195,weinan,34.5036,109.5089,30.09,38,53,2.95,CN,1725947867
196,inyonga,-6.7167,32.0667,25.21,40,39,3.81,TZ,1725947867
197,touros,-5.1989,-35.4608,22.96,83,7,5.8,BR,1725947544
198,camana,-16.6228,-72.7111,14.78,88,97,1.31,PE,1725947867
199,nishinoomote,30.7333,131.0,28.31,94,75,3.6,JP,1725947867
200,kingston,17.997,-76.7936,28.53,84,20,2.06,JM,1725947703
201,bonthe,7.5264,-12.505,23.2,92,100,1.21,SL,1725947867
202,amga,60.8953,131.9608,6.57,96,100,4.93,RU,1725947532
203,guarapari,-20.6667,-40.4975,19.02,82,0,4.23,BR,1725947868
204,afaahiti,-17.75,-149.2833,23.22,83,38,8.54,PF,1725947531
205,queenstown,-31.8976,26.8753,5.65,81,97,1.78,ZA,1725947571
206,saudarkrokur,65.7461,-19.6394,2.25,99,100,13.03,IS,1725947868
207,yeppoon,-23.1333,150.7333,22.52,69,0,4.8,AU,1725947868
208,karbala,32.616,44.0249,40.93,10,0,2.19,IQ,1725947868
209,saurimo,-9.6608,20.3916,23.73,52,33,0.78,AO,1725947869
210,el calafate,-50.3408,-72.2768,0.3,71,3,3.06,AR,1725947869
211,lapao,-11.3833,-41.8319,16.55,89,8,5.35,BR,1725947869
212,santa cruz del sur,20.7147,-77.9956,26.73,85,51,4.02,CU,1725947869
213,yarmouth,41.7057,-70.2286,18.89,81,0,3.13,US,1725947532
214,visakhapatnam,17.69,83.2093,30.94,70,75,7.72,IN,1725947869
215,kodiak,57.79,-152.4072,10.73,93,100,0.0,US,1725947527
216,bandrele,-12.9067,45.1914,26.86,69,0,4.12,YT,1725947869
217,atherton,53.5237,-2.4935,15.08,86,100,1.79,GB,1725947869
218,vrangel',42.7297,133.0839,21.23,99,100,3.44,RU,1725947870
219,orkney,-26.9802,26.6727,13.42,66,1,5.63,ZA,1725947870
220,longquan,24.6719,102.1613,24.83,65,99,3.37,CN,1725947870
221,saint-pierre,-21.3393,55.4781,25.82,61,20,8.75,RE,1725947870
222,tikapur,28.5,81.1333,33.59,57,28,1.34,NP,1725947870
223,gizo,-8.103,156.8419,27.29,83,68,9.7,SB,1725947870
224,i-n-salah,27.1935,2.4607,32.66,43,22,5.72,DZ,1725947870
225,rio grande,-32.035,-52.0986,16.36,95,99,3.27,BR,1725947442
226,richards bay,-28.783,32.0377,14.26,80,100,2.61,ZA,1725947537
227,bayanhongor,46.7167,100.1167,11.8,21,0,3.67,MN,1725947565
228,pyetrykaw,52.1289,28.4921,16.18,45,87,3.57,BY,1725947871
229,barysaw,54.2312,28.5049,15.25,49,39,4.63,BY,1725947871
230,ghat,24.9647,10.1728,30.83,42,97,2.33,LY,1725947578
231,calama,-22.4667,-68.9333,7.27,6,0,7.72,CL,1725947871
232,el granada,37.5027,-122.4694,15.44,88,100,4.63,US,1725947555
233,saqqez,36.2499,46.2735,27.7,19,0,1.24,IR,1725947871
234,constantia,44.1833,28.65,20.39,74,90,2.83,RO,1725947570
235,natal,-5.795,-35.2094,22.12,88,40,3.09,BR,1725947825
236,waddan,29.1614,16.139,26.48,69,22,5.18,LY,1725947872
237,bubaque,11.2833,-15.8333,26.2,82,100,7.99,GW,1725947872
238,sunrise manor,36.2111,-115.0731,33.87,21,20,2.06,US,1725947872
239,berezniki,59.4152,56.8124,19.7,63,40,0.89,RU,1725947872
240,puerto lempira,15.2667,-83.7667,26.66,88,97,1.74,HN,1725947872
241,pont-sainte-marie,48.3185,4.0945,13.03,82,100,4.12,FR,1725947873
242,yaren,-0.5472,166.916,28.61,74,97,5.47,NR,1725947873
243,guerrero negro,27.9769,-114.0611,22.4,83,43,4.06,MX,1725947824
244,bulnes,-36.7423,-72.2985,8.33,97,100,1.95,CL,1725947873
245,katsuren-haebaru,26.3369,127.8719,31.21,80,75,7.72,JP,1725947873
246,zouerate,22.7187,-12.4521,31.98,38,59,2.72,MR,1725947873
247,betong,5.7743,101.0723,30.52,54,79,2.95,TH,1725947874
248,naze,28.3667,129.4833,30.51,85,96,6.77,JP,1725947874
249,taylor,32.3001,-99.8337,18.4,56,0,3.09,US,1725947583
250,amahai,-3.3333,128.9167,26.37,72,32,2.74,ID,1725947874
251,sitka,57.0531,-135.33,12.94,76,75,0.0,US,1725947550
252,bride,54.3826,-4.3892,12.98,85,92,11.26,IM,1725947874
253,stephenville,32.2207,-98.2023,17.07,67,0,0.0,US,1725947874
254,auki,-8.7676,160.7034,26.19,85,78,2.2,SB,1725947561
255,constitucion,-35.3333,-72.4167,10.96,74,100,3.59,CL,1725947671
256,tazovsky,67.4667,78.7,4.23,56,82,6.32,RU,1725947559
257,borgarnes,64.5383,-21.9206,2.77,72,49,8.09,IS,1725947539
258,jayapura,-2.5333,140.7,30.66,81,74,2.08,ID,1725947875
259,tsiombe,-25.3,45.4833,23.44,71,60,5.15,MG,1725947590
260,tvoroyri,61.5556,-6.8111,8.14,68,100,9.64,FO,1725947875
261,itaituba,-4.2761,-55.9836,24.98,47,10,0.51,BR,1725947876
262,chom thong,18.4174,98.6743,24.56,97,100,1.56,TH,1725947876
263,bardai,11.65,7.2333,23.85,79,52,1.62,NG,1725947876
264,ushtobe,45.2514,77.9838,21.71,27,100,2.65,KZ,1725947876
265,bamboo flat,11.7,92.7167,28.56,78,85,8.76,IN,1725947566
266,floro,61.5996,5.0328,8.98,93,40,3.6,NO,1725947876
267,san juan,-31.5375,-68.5364,17.37,36,50,0.4,AR,1725947876
268,port saint john's,-31.6229,29.5448,14.56,67,96,0.71,ZA,1725947877
269,kone,-21.0595,164.8658,24.3,51,5,2.7,NC,1725947578
270,torbat-e heydariyeh,35.274,59.2195,22.14,8,0,2.91,IR,1725947877
271,tomatlan,19.9333,-105.25,24.27,98,100,1.16,MX,1725947567
272,nadym,65.5333,72.5167,11.26,70,56,3.83,RU,1725947572
273,dowa,-13.654,33.9375,22.15,37,34,4.88,MW,1725947877
274,greenwood,34.1668,-82.1165,16.46,87,0,0.0,US,1725947877
275,klaksvik,62.2266,-6.589,7.68,69,100,8.11,FO,1725947559
276,magadan,59.5667,150.8,10.26,86,100,3.0,RU,1725947878
277,vorgashor,67.5833,63.95,14.65,78,97,5.45,RU,1725947551
278,kara-balta,42.8142,73.8481,23.06,23,80,3.49,KG,1725947878
279,along,28.1667,94.7667,30.61,55,100,0.96,IN,1725947878
280,west island,-12.1568,96.8225,28.99,65,78,5.66,CC,1725947530
281,dem'yanovo,60.3511,47.0842,18.58,58,52,1.49,RU,1725947879
282,nemuro,43.3236,145.575,18.13,89,100,7.8,JP,1725947542
283,porto novo,6.4965,2.6036,24.9,89,100,2.81,BJ,1725947573
284,atyashevo,54.5644,46.0691,23.09,51,74,5.75,RU,1725947879
285,orhangazi,40.4892,29.3089,24.79,57,77,1.79,TR,1725947879
286,karatuzskoye,53.6072,92.8667,12.55,85,100,2.37,RU,1725947570
287,hassi messaoud,31.6804,6.0729,24.92,53,0,5.14,DZ,1725947879
288,hadibu,12.65,54.0333,27.67,72,53,8.31,YE,1725947527
289,filingue,14.3521,3.3168,29.16,61,18,2.85,NE,1725947880
290,port alfred,-33.5906,26.891,14.39,47,31,2.93,ZA,1725947534
291,miguel ahumada,30.6167,-106.5167,22.96,25,0,4.16,MX,1725947880
292,kapuskasing,49.4169,-82.4331,9.0,93,0,1.03,CA,1725947554
293,taft,31.7471,54.2088,24.97,17,0,2.06,IR,1725947880
294,hasaki,35.7333,140.8333,28.19,79,2,4.02,JP,1725947546
295,mossel bay,-34.1831,22.146,7.96,62,4,4.85,ZA,1725947880
296,noyabrsk,63.1994,75.4507,10.56,70,90,6.59,RU,1725947881
297,kathmandu,27.7167,85.3167,29.12,58,20,0.0,NP,1725947515
